edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
0;0;2;0;1;2;10;10;0;0;1;5;2;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;6;6;0;0;3;0;0;0
0;0;24;1;13;84;45;45;0;63;28;4;6;8
0;0;17;1;13;27;13;13;2;7;4;8;2;2
0;0;3;0;2;2;10;10;3;0;0;5;1;1
1;0;8;0;9;21;17;17;0;6;5;0;0;1
0;0;0;0;0;0;2;2;1;0;0;0;0;0
1;0;0;0;0;0;1;1;0;0;0;0;0;0
0;0;0;0;0;0;5;5;1;0;5;0;0;0
0;0;21;1;13;32;47;47;4;4;24;6;0;8
4;0;23;3;19;65;37;37;5;41;37;19;5;12
0;0;0;0;0;0;10;10;0;0;0;0;0;0
0;0;42;1;81;810;26;26;17;236;56;1;0;10
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;9;0;3;5;8;8;0;4;21;0;0;0
4;0;12;3;4;43;16;16;5;7;5;16;10;2
0;0;6;1;3;5;12;12;2;0;19;6;4;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;10;1;56;117;12;12;4;23;10;9;1;4
1;0;11;0;15;1220;50;50;8;9;10;4;0;7
0;0;0;0;0;0;2;2;1;0;0;0;0;0
0;2;0;1;0;0;6;6;0;0;4;0;0;0
0;0;12;0;3;132;5;5;0;39;0;5;3;0
5;0;21;0;120;1279;19;19;2;63;2;11;2;2
0;0;0;0;0;0;7;7;1;0;0;0;0;0
1;0;13;1;1;1;73;73;9;0;45;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;1;0;0;12;12;0;0;0;1;0;0
0;0;5;0;1;7;6;6;0;3;0;0;0;0
1;0;3;0;0;4;15;15;3;1;17;6;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;0;2;0;0;8;8;0;0;7;2;0;0
0;0;3;0;2;4;0;0;0;0;2;0;0;0
2;0;12;1;4;35;10;10;0;26;2;6;2;1
0;0;17;4;9;13;8;8;1;0;15;4;0;6
0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;4;0;2;4;5;5;1;1;6;0;0;1
0;0;3;0;1;6;5;5;2;0;3;0;0;0
0;0;0;2;0;0;8;8;1;0;3;0;0;0
0;0;4;2;7;10;19;19;2;4;4;0;0;4
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;15;5;25;46;23;23;4;18;36;1;1;5
0;0;8;1;9;35;12;12;6;9;7;4;1;1
1;0;1;0;0;1;0;0;0;0;0;0;0;0
1;0;0;0;0;0;5;5;4;0;2;1;2;0
2;0;4;0;2;8;8;8;2;4;0;1;0;0
4;1;19;1;20;93;25;25;9;21;40;3;2;3
3;0;0;1;0;0;19;19;4;0;1;2;0;0
1;0;0;0;0;0;2;1;0;0;0;0;0;0
0;0;16;0;21;45;32;32;6;17;7;14;4;8
1;0;7;0;13;21;23;23;3;8;2;0;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;4;0;0;0;17;17;1;0;15;1;0;0
0;2;9;1;5;23;34;34;5;15;22;6;2;3
0;0;7;0;0;2;6;6;1;0;2;2;2;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;2;0;2;12;2;2;1;10;2;0;0;0
0;0;0;0;0;0;5;5;0;0;0;0;0;0
1;0;10;0;7;34;14;14;2;18;11;3;3;6
0;0;2;0;0;3;0;0;0;1;3;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;51;2;94;962;45;45;1;182;3;32;24;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;2;0;0;1;0;0;0;0;0;0;0;0
1;2;16;1;31;648;13;13;4;43;76;1;3;1
1;1;7;1;3;14;36;36;3;4;6;9;3;3
1;0;10;0;5;1196;15;15;1;32;14;4;2;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
